Species2_eBird,Sex,mean_Tarsus.Length,mean_Tail.Length,Family2,Order2,Wire.Tails
Abeillia abeillei,F,7.55,28.5,Trochilidae,Caprimulgiformes,N
Abeillia abeillei,M,5.533333333,30,Trochilidae,Caprimulgiformes,N
Abroscopus albogularis,F,15.05,38.5,Scotocercidae,Passeriformes,N
Abroscopus albogularis,M,15.43333333,38.83333333,Scotocercidae,Passeriformes,N
Abroscopus schisticeps,F,16.43333333,47.33333333,Scotocercidae,Passeriformes,N
Abroscopus schisticeps,M,16.8,48,Scotocercidae,Passeriformes,N
Abroscopus superciliaris,F,16.3,39.5,Scotocercidae,Passeriformes,N
Abroscopus superciliaris,M,16.76666667,44.33333333,Scotocercidae,Passeriformes,N
Aburria aburri,F,63.13333333,280.4166667,Cracidae,Galliformes,N
Aburria aburri,M,68.5,300.3333333,Cracidae,Galliformes,N
Acanthagenys rufogularis,F,25,113,Meliphagidae,Passeriformes,N
Acanthagenys rufogularis,M,25.16666667,112.3333333,Meliphagidae,Passeriformes,N
Acanthidops bairdi,F,20.4,47,Thraupidae,Passeriformes,N
Acanthidops bairdi,M,21.1,53.83333333,Thraupidae,Passeriformes,N
Acanthis cabaret,M,14.2,58,Fringillidae,Passeriformes,N
Acanthis hornemanni,M,16.8,65,Fringillidae,Passeriformes,N
Acanthisitta chloris,F,17.76666667,24.33333333,Acanthisittidae,Passeriformes,N
Acanthisitta chloris,M,18.26666667,22.66666667,Acanthisittidae,Passeriformes,N
Acanthiza apicalis,F,18.8,45.6,Acanthizidae,Passeriformes,N
Acanthiza apicalis,M,19.16,44.6,Acanthizidae,Passeriformes,N
Acanthiza chrysorrhoa,F,18.08,39.5,Acanthizidae,Passeriformes,N
Acanthiza chrysorrhoa,M,17.85,38.5,Acanthizidae,Passeriformes,N
Acanthiza cinerea,M,19.225,36.125,Acanthizidae,Passeriformes,N
Acanthiza ewingii,F,21.16666667,49.83333333,Acanthizidae,Passeriformes,N
Acanthiza ewingii,M,22.8,39,Acanthizidae,Passeriformes,N
Acanthiza inornata,F,17.24,36.8,Acanthizidae,Passeriformes,N
Acanthiza inornata,M,17.3,36.83333333,Acanthizidae,Passeriformes,N
Acanthiza iredalei,F,16.98,39.6,Acanthizidae,Passeriformes,N
Acanthiza iredalei,M,18,42,Acanthizidae,Passeriformes,N
Acanthiza katherina,F,18.35,42.25,Acanthizidae,Passeriformes,N
Acanthiza katherina,M,18.6,45,Acanthizidae,Passeriformes,N
Acanthiza lineata,F,17.07777778,38.88888889,Acanthizidae,Passeriformes,N
Acanthiza lineata,M,17.025,39,Acanthizidae,Passeriformes,N
Acanthiza murina,F,18.1,37.5,Acanthizidae,Passeriformes,N
Acanthiza murina,M,18.05,32.75,Acanthizidae,Passeriformes,N
Acanthiza nana,F,17.075,37.3125,Acanthizidae,Passeriformes,N
Acanthiza nana,M,17.38,37.4,Acanthizidae,Passeriformes,N
Acanthiza pusilla,F,18.42,44.1,Acanthizidae,Passeriformes,N
Acanthiza pusilla,M,19,45.3,Acanthizidae,Passeriformes,N
Acanthiza reguloides,F,16.54285714,38.78571429,Acanthizidae,Passeriformes,N
Acanthiza reguloides,M,16.86666667,39.08333333,Acanthizidae,Passeriformes,N
Acanthiza robustirostris,F,19.08,40.7,Acanthizidae,Passeriformes,N
Acanthiza robustirostris,M,19.1,40.5,Acanthizidae,Passeriformes,N
Acanthiza uropygialis,F,18,38.5,Acanthizidae,Passeriformes,N
Acanthiza uropygialis,M,18.05,43,Acanthizidae,Passeriformes,N
Acanthorhynchus superciliosus,F,20.1,54.5,Meliphagidae,Passeriformes,N
Acanthorhynchus superciliosus,M,19.76666667,58.66666667,Meliphagidae,Passeriformes,N
Acanthorhynchus tenuirostris,F,17.36666667,53.33333333,Meliphagidae,Passeriformes,N
Acanthorhynchus tenuirostris,M,18.53333333,60.83333333,Meliphagidae,Passeriformes,N
Acanthornis magna,F,22.05,48.25,Acanthizidae,Passeriformes,N
Acanthornis magna,M,22.46666667,48.33333333,Acanthizidae,Passeriformes,N
Accipiter albogularis,F,59.55,165.5,Accipitridae,Accipitriformes,N
Accipiter badius,F,46.2,152.25,Accipitridae,Accipitriformes,N
Accipiter badius,M,40.88333333,132.8333333,Accipitridae,Accipitriformes,N
Accipiter bicolor,F,59.8,197.5,Accipitridae,Accipitriformes,N
Accipiter bicolor,M,56.28,171.7,Accipitridae,Accipitriformes,N
