"","species","Genus","abbreviation","Clade","wing_M","wing_F","tail_max_M","tail_max_F","tarsus_M","tarsus_F","weight_M","weight_F","tail_wires","AVONET_average_Wt","rel_tail_length_M","rel_tail_length_F","rel_tail_length_dim","avg_weight"
"1","Astrapia_mayeri","Astrapia","AstMay","Core",179,156,893,309,40.9,39.4,147,132,"N",139.3,5.14774382723952,4.12201664244424,1.02572718479527,4.93806460126142
"2","Astrapia_nigra","Astrapia","AstNig","Core",185,170,569,310,41.7,40,NA,NA,"N",190,NA,NA,NA,NA
"3","Astrapia_rothschildi","Astrapia","AstRot","Core",188,164,443,256,41.8,40.1,207,159,"N",181.4,4.33377256826756,3.87243905774689,0.461333510520678,5.20948615284142
"4","Astrapia_splendidissima","Astrapia","AstSpl","Core",137,135,217,211,37.7,36.8,138,125,"N",131.3,3.75390363743858,3.75851460016631,-0.00461096272772465,4.87900685161782
"5","Astrapia_stephaniae","Astrapia","AstSte","Core",169,154,637,322,41.8,40,155,137,"N",141.8,4.79243936698881,4.15095784002113,0.641481526967684,4.98360662170834
"6","Cicinnurus_magnificus","Cicinnurus","CicMag","Core",115,110,275,60,31.5,30,97,82,"Y",89.8,4.10711647476046,2.6401272106249,1.46698926413556,4.49423862528081
"7","Cicinnurus_regius","Cicinnurus","CicReg","Core",100,99,158,58,26.4,26.2,53,50,"Y",51.6,3.75239870155477,2.76947541875513,0.982923282799636,3.94158180766969
"8","Cicinnurus_respublica","Cicinnurus","CicRes","Core",98,97,140,53,27.1,26.5,61,56,"Y",58.4,3.58505404743211,2.64192585560952,0.943128191822589,4.06902675423781
"9","Drepanornis_albertisi","Drepanornis","DreAlb","Core",153,148,129,124,34.4,34,112,111,"N",110,3.30270777683429,3.26613659917197,0.0365711776623243,4.71402459090017
"10","Drepanornis_bruijnii","Drepanornis","DreBru","Core",160,155,110,111,33,32.1,161,146,"N",153.3,3.02361692534754,3.06494001614858,-0.0413230908010394,5.03370056702725
"11","Epimachus_fastuosus","Epimachus","EpiFas","Core",201,171,735,298,50.9,47.2,277,195,"N",232.9,4.74394472217101,3.95700363217937,0.786941089991647,5.46383180502561
"12","Epimachus_meyeri","Epimachus","EpiMey","Core",182,157,706,294,50.2,45.5,234,166,"N",220.5,4.7593592694252,3.99662379718102,0.762735472244178,5.29831736654804
"13","Lophorina_superba","Lophorina","LopSup","Core",136,120,92,84,31.8,29.7,87,67,"N",76.7,3.04803889789303,3.04326823444429,0.004770663448733,4.34380542185368
"14","Lycocorax_pyrrhopterus","Lycocorax","LycPyr","Basal",198,192,145,140,44.1,43.3,302,267,"N",283.9,3.09229282668687,3.09785036533722,-0.00555753865035413,5.65073325356639
"15","Manucodia_ater","Manucodia","ManAtr","Basal",190,182,160,151,40.5,39.5,238,208,"N",228,3.26932449292224,3.25589227051349,0.0134322224087509,5.40717177146012
"16","Manucodia_chalybatus","Manucodia","ManCha","Basal",173,167,141,136,37.8,37.1,223,209,"N",215.9,3.16439320579633,3.14968458258766,0.014708623208664,5.37527840768417
"17","Manucodia_comrii","Manucodia","ManCom","Basal",237,225,167,160,50.3,48.9,448,418,"N",432.7,3.10341204571981,3.08346494250066,0.0199471032191534,6.07073772800249
"18","Manucodia_jobiensis","Manucodia","ManJob","Basal",176,169,133,127,37.1,36.1,228,180,"N",202.6,3.09866507066679,3.13051132566482,-0.0318462549980336,5.31811999384422
